"DateTime","CLOSE","VOLUME","PE"
2006-01-04,941.428,2112689900,14.691
2006-01-05,959.134,2731174300,14.9349
2006-01-06,970.032,3028636800,15.0558
2006-01-09,975.253,2432955200,15.1007
2006-01-10,978.154,2273530200,15.1654
2006-01-11,973.477,2652413800,15.0205
2006-01-12,983.716,2189668000,15.1799
2006-01-13,978.809,2228186100,15.069
2006-01-16,961.439,2030521500,14.8492
2006-01-17,964.29,1603727600,14.9509
2006-01-18,983.622,2082351800,15.2471
2006-01-19,991.222,2645560900,15.4435
2006-01-20,993.34,2614706200,15.4906
2006-01-23,996.162,2254601900,15.4618
2006-01-24,999.093,2419799100,15.4419
2006-01-25,1009.597,2180075800,15.5641
2006-02-06,1033.234,2503877100,15.9446
2006-02-07,1029.937,3295478700,15.8703
2006-02-08,1033.072,2698672900,15.9519
2006-02-09,1019.599,2383960100,15.6956
2006-02-10,1032.337,2202445300,15.8968
2006-02-13,1031.614,2215729800,15.8553
2006-02-14,1038.531,1855622000,15.9222
2006-02-15,1041.66,2478462800,16.1205
2006-02-16,1020.121,2615989200,15.7904
2006-02-17,1020.368,2102687500,15.7863
2006-02-20,1021.639,1881888300,15.8179
2006-02-21,1038.816,2367803900,16.0764
2006-02-22,1037.885,2538070400,16.0361
2006-02-23,1041.373,1978503700,16.0935
2006-02-24,1049.444,1967610400,16.1744
2006-02-27,1047.845,2287209900,16.1502
2006-02-28,1053.01,1935326700,16.1051
2006-03-01,1056.619,1942573000,16.1666
2006-03-02,1038.666,2487786100,15.823
2006-03-03,1041.677,2120053900,15.923
2006-03-06,1038.873,1787096300,15.8255
2006-03-07,1014.973,1933651600,15.4534
2006-03-08,1009.271,1746305500,15.2926
2006-03-09,1004.344,1273509900,15.2605
2006-03-10,1008.897,1188798300,15.2316
2006-03-13,1019.864,1176591100,15.5189
2006-03-14,1018.272,1134803000,15.4852
2006-03-15,1028.958,1484206800,15.6902
2006-03-16,1027.616,1478433900,15.6403
2006-03-17,1024.015,1500192400,15.5179
2006-03-20,1037.659,1538991200,15.715
2006-03-21,1040.757,1907766200,15.6974
2006-03-22,1047.666,1864057500,15.7624
2006-03-23,1048.537,2046788500,15.7719
2006-03-24,1042.601,2009823700,15.8319
2006-03-27,1050.707,1713407000,16.0853
2006-03-28,1055.982,2227399900,16.0677
2006-03-29,1065.294,3052634500,15.7499
2006-03-30,1055.634,2201249400,15.5543
2006-03-31,1061.088,2227619000,15.4902
2006-04-03,1079.322,2772976100,14.9814
2006-04-04,1089.371,3114875700,15.0631
2006-04-05,1099.97,3293691400,15.1496
2006-04-06,1103.237,3616704900,15.1624
2006-04-07,1103.154,3257086000,15.1458
2006-04-10,1117.91,3206752000,15.3244
2006-04-11,1123.308,3560752000,15.373
2006-04-12,1117.073,3033384500,15.3127
2006-04-13,1093.925,3382414600,15.1219
2006-04-14,1118.607,3352796200,15.434
2006-04-17,1124.414,3570454800,15.749
2006-04-18,1131.281,3231722300,15.5084
2006-04-19,1138.241,3432289800,15.5798
2006-04-20,1134.381,3788565100,15.6819
2006-04-21,1149.158,4077291000,16.36
2006-04-24,1142.698,4593621900,16.3603
2006-04-25,1141.93,3861112500,16.1989
2006-04-26,1155.726,4182430100,16.4508
2006-04-27,1155.268,3198045100,16.4513
2006-04-28,1172.347,4080185800,17.0417
2006-05-08,1218.445,4491282100,18.1651
2006-05-09,1251.611,5599386100,18.5591
2006-05-10,1265.933,5566704300,18.6887
2006-05-11,1255.035,6113372500,18.5198
2006-05-12,1296.257,5492033100,19.2661
2006-05-15,1352.155,7353400500,20.0207
2006-05-16,1331.127,7965817000,19.4556
2006-05-17,1335.523,6182328700,19.5222
2006-05-18,1331.201,5205636300,19.3725
2006-05-19,1366.097,6712386900,19.6717
2006-05-22,1373.674,6626217200,19.6991
